Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,P1_missing,P2_missing,P3_missing,Is_finished,FastestLap
2020,5,Silverstone,HUL,Racing Point,7.0,3,3,0,4.0,6.0,4.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,OCO,Renault,8.0,14,11,0,10.0,10.0,9.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,NOR,McLaren,9.0,10,10,0,12.0,8.0,3.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,KVY,Racing Bulls,10.0,16,16,0,9.0,12.0,12.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,GAS,Racing Bulls,11.0,7,7,0,11.0,13.0,11.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,VET,Ferrari,12.0,11,12,0,7.0,14.0,13.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,SAI,McLaren,13.0,12,13,0,14.0,9.0,10.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,RIC,Renault,14.0,5,5,0,17.0,3.0,14.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,RAI,Sauber,15.0,20,20,0,18.0,17.0,19.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,GRO,Haas F1 Team,16.0,13,14,0,13.0,15.0,15.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,GIO,Sauber,17.0,19,19,0,,20.0,18.0,0,0,0,0,1,0,0,1,0
2020,5,Silverstone,RUS,Williams,18.0,15,15,0,15.0,16.0,17.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,LAT,Williams,19.0,18,18,0,16.0,19.0,16.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,MAG,Haas F1 Team,25.38,17,17,0,20.0,18.0,20.0,0,1,0,0,0,0,0,0,0
2020,6,Barcelona,HAM,Mercedes,1.0,1,1,0,2.0,1.0,1.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,VER,Red Bull Racing,2.0,3,3,0,3.0,3.0,3.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,BOT,Mercedes,3.0,2,2,0,1.0,2.0,2.0,0,0,0,0,0,0,0,1,1
2020,6,Barcelona,STR,Racing Point,4.0,5,5,0,10.0,11.0,8.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,PER,Racing Point,5.0,4,4,0,7.0,8.0,5.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,SAI,McLaren,50.0,7,7,0,11.0,7.0,4.0,0,1,0,0,0,0,0,0,0
2020,6,Barcelona,VET,Ferrari,7.0,11,11,0,5.0,12.0,12.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,ALB,Red Bull Racing,8.0,6,6,0,8.0,13.0,9.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,GAS,Racing Bulls,9.0,10,10,0,14.0,10.0,7.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,NOR,McLaren,10.0,8,8,0,13.0,14.0,15.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,RIC,Renault,11.0,13,13,0,18.0,4.0,10.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,KVY,Racing Bulls,12.0,12,12,0,17.0,15.0,16.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,OCO,Renault,13.0,15,15,0,12.0,9.0,11.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,RAI,Sauber,14.0,14,14,0,16.0,17.0,14.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,MAG,Haas F1 Team,15.0,16,16,0,9.0,16.0,17.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,GIO,Sauber,16.0,20,20,0,15.0,18.0,18.0,0,0,1,0,0,0,0,1,0
2020,6,Barcelona,RUS,Williams,17.0,18,18,0,,20.0,19.0,0,0,0,0,1,0,0,1,0
2020,6,Barcelona,LAT,Williams,18.0,19,19,0,19.0,19.0,20.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,GRO,Haas F1 Team,19.0,17,17,0,6.0,5.0,13.0,0,0,0,0,0,0,0,1,0
2020,6,Barcelona,LEC,Ferrari,28.48,9,9,0,4.0,6.0,6.0,0,1,0,0,0,0,0,0,0
2020,7,Spa-Francorchamps,HAM,Mercedes,1.0,1,1,0,2.0,3.0,1.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,BOT,Mercedes,2.0,2,2,0,1.0,6.0,5.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,VER,Red Bull Racing,3.0,3,3,0,3.0,1.0,6.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,RIC,Renault,4.0,4,4,0,9.0,2.0,7.0,0,0,0,0,0,0,0,1,1
2020,7,Spa-Francorchamps,OCO,Renault,5.0,6,6,0,7.0,8.0,2.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,ALB,Red Bull Racing,6.0,5,5,0,6.0,4.0,4.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,NOR,McLaren,7.0,10,10,0,10.0,7.0,3.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,GAS,Racing Bulls,8.0,12,12,0,12.0,10.0,11.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,STR,Racing Point,9.0,9,9,0,5.0,11.0,8.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,PER,Racing Point,10.0,8,8,0,4.0,5.0,10.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,KVY,Racing Bulls,11.0,11,11,0,11.0,12.0,12.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,RAI,Sauber,12.0,16,16,0,13.0,14.0,16.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,VET,Ferrari,13.0,14,14,0,15.0,17.0,20.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,LEC,Ferrari,14.0,13,13,0,14.0,15.0,17.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,GRO,Haas F1 Team,15.0,17,17,0,,19.0,15.0,0,0,0,0,1,0,0,1,0
2020,7,Spa-Francorchamps,LAT,Williams,16.0,19,19,0,16.0,18.0,13.0,0,0,0,0,0,0,0,1,0
2020,7,Spa-Francorchamps,MAG,Haas F1 Team,17.0,20,20,0,,20.0,14.0,0,0,0,0,1,0,0,1,0
