Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap
2023,11,Budapest,TSU,Racing Bulls,15.0,17,17,0,,4.0,20.0,0,0,0,1,1,1,0,0,0
2023,11,Budapest,ZHO,Sauber,16.0,5,5,0,,9.0,12.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,MAG,Haas F1 Team,17.0,19,19,0,,15.0,15.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,SAR,Williams,20.43,20,20,0,,17.0,17.0,0,1,0,0,0,1,0,0,0
2023,11,Budapest,OCO,Alpine,49.57,12,12,0,,5.0,19.0,0,0,1,0,0,1,0,0,0
2023,11,Budapest,GAS,Alpine,49.57,15,15,0,,3.0,16.0,0,0,1,0,0,1,0,0,0
2023,12,Spa-Francorchamps,VER,Red Bull Racing,1.0,6,1,1,,,,0,0,0,0,1,1,1,1,0
2023,12,Spa-Francorchamps,PER,Red Bull Racing,2.0,2,3,19,5.0,,,0,0,0,0,1,0,1,1,0
2023,12,Spa-Francorchamps,LEC,Ferrari,3.0,1,2,5,4.0,,,0,0,0,0,1,0,1,1,0
2023,12,Spa-Francorchamps,HAM,Mercedes,4.0,3,4,7,12.0,,,0,0,0,1,1,0,1,1,1
2023,12,Spa-Francorchamps,ALO,Aston Martin,5.0,9,9,20,11.0,,,0,0,0,0,1,0,1,1,0
2023,12,Spa-Francorchamps,RUS,Mercedes,6.0,8,8,8,13.0,,,0,0,0,0,1,0,1,1,0
