Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap
2023,8,Montréal,TSU,Racing Bulls,14.0,19,16,0,,15.0,8.0,0,0,0,0,1,1,0,0,0
2023,8,Montréal,HUL,Haas F1 Team,15.0,5,2,0,,20.0,11.0,0,0,0,1,1,1,0,0,0
2023,8,Montréal,ZHO,Sauber,16.0,20,20,0,,14.0,18.0,0,0,0,0,1,1,0,0,0
2023,8,Montréal,MAG,Haas F1 Team,17.0,13,14,0,7.0,12.0,4.0,0,0,0,0,1,0,0,0,0
2023,8,Montréal,DEV,Racing Bulls,18.0,17,18,0,,16.0,16.0,0,0,0,0,1,1,0,0,0
2023,8,Montréal,RUS,Mercedes,22.29,4,5,0,,2.0,15.0,0,1,0,0,0,1,0,0,0
2023,8,Montréal,SAR,Williams,47.43,18,19,0,,19.0,20.0,0,1,0,0,0,1,0,0,0
2023,9,Spielberg,VER,Red Bull Racing,1.0,1,1,1,1.0,,,0,0,0,0,1,0,1,1,1
2023,9,Spielberg,LEC,Ferrari,2.0,2,2,12,3.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,PER,Red Bull Racing,3.0,15,15,2,5.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,NOR,McLaren,4.0,4,4,9,20.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,ALO,Aston Martin,5.0,7,7,5,8.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,SAI,Ferrari,6.0,3,3,3,2.0,,,0,0,0,1,1,0,1,1,0
2023,9,Spielberg,RUS,Mercedes,7.0,11,11,8,9.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,HAM,Mercedes,8.0,5,5,10,4.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,STR,Aston Martin,9.0,6,6,4,6.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,GAS,Alpine,10.0,9,9,15,19.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,ALB,Williams,11.0,10,10,13,11.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,ZHO,Sauber,12.0,17,17,19,10.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,SAR,Williams,13.0,18,18,18,17.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,OCO,Alpine,14.0,12,12,7,18.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,BOT,Sauber,15.0,14,14,20,14.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,PIA,McLaren,16.0,13,13,11,12.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,DEV,Racing Bulls,17.0,20,20,17,16.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,MAG,Haas F1 Team,18.0,19,19,14,7.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,TSU,Racing Bulls,19.0,16,16,16,15.0,,,0,0,0,0,1,0,1,1,0
2023,9,Spielberg,HUL,Haas F1 Team,44.93,8,8,6,13.0,,,0,1,0,0,0,0,1,1,0
2023,10,Silverstone,VER,Red Bull Racing,1.0,1,1,0,1.0,1.0,8.0,0,0,0,0,1,0,0,0,1
2023,10,Silverstone,NOR,McLaren,2.0,2,2,0,8.0,14.0,12.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,HAM,Mercedes,3.0,7,7,0,12.0,15.0,5.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,PIA,McLaren,4.0,3,3,0,10.0,9.0,17.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,RUS,Mercedes,5.0,6,6,0,14.0,12.0,9.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,PER,Red Bull Racing,6.0,15,15,0,2.0,4.0,14.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,ALO,Aston Martin,7.0,9,9,0,4.0,10.0,3.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,ALB,Williams,8.0,8,8,0,3.0,3.0,2.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,LEC,Ferrari,9.0,4,4,0,5.0,,1.0,0,0,0,0,1,0,1,0,0
2023,10,Silverstone,SAI,Ferrari,10.0,5,5,0,7.0,2.0,6.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,SAR,Williams,11.0,14,14,0,17.0,5.0,7.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,BOT,Sauber,12.0,20,15,0,15.0,16.0,18.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,HUL,Haas F1 Team,13.0,11,11,0,20.0,7.0,,0,0,0,0,1,0,0,1,0
2023,10,Silverstone,STR,Aston Martin,14.0,12,12,0,9.0,6.0,13.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,ZHO,Sauber,15.0,17,17,0,18.0,11.0,,0,0,0,0,1,0,0,1,0
2023,10,Silverstone,TSU,Racing Bulls,16.0,16,16,0,16.0,18.0,10.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,DEV,Racing Bulls,17.0,18,18,0,11.0,19.0,11.0,0,0,0,0,1,0,0,0,0
2023,10,Silverstone,GAS,Alpine,21.15,10,10,0,13.0,8.0,4.0,0,0,1,0,0,0,0,0,0
2023,10,Silverstone,MAG,Haas F1 Team,28.08,19,19,0,19.0,17.0,15.0,0,1,0,0,0,0,0,0,0
2023,10,Silverstone,OCO,Alpine,44.81,13,13,0,6.0,13.0,16.0,0,1,0,0,0,0,0,0,0
2023,11,Budapest,VER,Red Bull Racing,1.0,2,2,0,,11.0,2.0,0,0,0,0,1,1,0,0,1
2023,11,Budapest,NOR,McLaren,2.0,3,3,0,,2.0,5.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,PER,Red Bull Racing,3.0,9,9,0,,18.0,3.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,HAM,Mercedes,4.0,1,1,0,,16.0,1.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,PIA,McLaren,5.0,4,4,0,2.0,19.0,14.0,0,0,0,0,1,0,0,0,0
2023,11,Budapest,RUS,Mercedes,6.0,18,18,0,1.0,20.0,6.0,0,0,0,0,1,0,0,0,0
2023,11,Budapest,LEC,Ferrari,7.0,6,6,0,,1.0,7.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,SAI,Ferrari,8.0,11,11,0,,10.0,8.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,ALO,Aston Martin,9.0,8,8,0,,8.0,9.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,STR,Aston Martin,10.0,14,14,0,,12.0,11.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,ALB,Williams,11.0,16,16,0,,13.0,13.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,BOT,Sauber,12.0,7,7,0,6.0,7.0,10.0,0,0,0,0,1,0,0,0,0
2023,11,Budapest,RIC,Racing Bulls,13.0,13,13,0,,14.0,18.0,0,0,0,0,1,1,0,0,0
2023,11,Budapest,HUL,Haas F1 Team,14.0,10,10,0,,6.0,4.0,0,0,0,0,1,1,0,0,0
