Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap,Engine,CircleLength,Quantity_of_circles,Quantity_of_drs,Quantity_of_turns,Tire_wear,Speed_of_turns,Downforce,Brake_load,Streets_or_not,Speed_of_track,PitStop_losing_time,Age,Average_pit_stop,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Pressure,Result_last_year,Salary,Team_financial_power,Regulation_Impact,Factorys_or_not,Strengh_of_first_partners,Driver_nationalitie,Points_before_race,Championship_position_before,teammate_points,points_ratio,points_ratio_log,avg_points_ratio,avg_last_3,avg_season
2021,1,Sakhir,VER,Red Bull Racing,2.0,1,1,0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,24,3.82,20.5,27.627819548872186,54.6,False,0.9,1014.9,2.0,25.0,3,0.0,0,,NED,0.0,,,,,1.0,2.0,2.0
2021,1,Sakhir,VER,Red Bull Racing,2.0,1,1,0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,24,3.82,20.5,27.627819548872186,54.6,False,0.9,1014.9,50.0,25.0,3,0.0,0,,NED,18.0,1.0,,,,1.0,11.0,11.0
2021,1,Sakhir,VET,Aston Martin,15.0,20,18,0,12.0,14.0,14.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,34,3.4,20.5,27.627819548872186,54.6,False,0.9,1014.9,13.0,15.0,2,0.0,1,6.0,GER,0.0,,,,,1.0,13.0,13.0
2021,1,Sakhir,VET,Aston Martin,15.0,20,18,0,12.0,14.0,14.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,34,3.4,20.5,27.627819548872186,54.6,False,0.9,1014.9,12.0,15.0,2,0.0,1,6.0,GER,0.0,8.0,,,,1.0,13.5,13.5
2021,2,Imola,ALO,Alpine,10.0,15,15,0,7.0,14.0,9.0,0,0,0,1,0,0,0,0,Renault,4.909,63,2,19,3,2,3,2,0,2,20.0,40,3.15,10.9,16.827329192546582,69.1,True,0.5,1011.2,,20.0,2,0.0,1,8.0,ESP,0.0,11.0,2.0,0.499999750000125,0.40546494144156714,1.0,19.0,19.0
2021,2,Imola,BOT,Mercedes,34.29,8,8,0,1.0,2.0,7.0,0,0,1,0,0,0,0,0,Mercedes,4.909,63,2,19,3,2,3,2,0,2,20.0,32,3.35,10.9,16.827329192546582,69.1,True,0.5,1011.2,2.0,10.0,3,0.0,1,7.0,FIN,15.0,6.0,18.0,0.0,0.0,0.599999976000001,2.5,2.5
2021,2,Imola,GAS,Racing Bulls,7.0,5,5,0,5.0,4.0,6.0,0,0,0,1,0,0,0,0,Honda,4.909,63,2,19,3,2,3,2,0,2,20.0,25,3.25,10.9,16.827329192546582,69.1,True,0.5,1011.2,46.19,4.0,2,0.0,0,6.0,FRA,0.0,11.0,0.0,6000000.0,15.607270193858982,1.0,18.0,18.0
2021,2,Imola,GIO,Sauber,14.0,17,17,0,15.0,9.0,18.0,0,0,0,1,0,0,0,0,Ferrari,4.909,63,2,19,3,2,3,2,0,2,20.0,28,4.0,10.9,16.827329192546582,69.1,True,0.5,1011.2,10.0,0.5,1,0.0,0,7.0,ITA,0.0,11.0,0.0,1.0,0.6931471805599453,1.0,11.333333333333334,11.333333333333334
2021,2,Imola,HAM,Mercedes,2.0,1,1,0,2.0,3.0,3.0,0,0,0,1,0,0,0,1,Mercedes,4.909,63,2,19,3,2,3,2,0,2,20.0,36,3.35,10.9,16.827329192546582,69.1,True,0.5,1011.2,1.0,30.0,3,0.0,1,10.0,GBR,25.0,2.0,0.0,18000000.0,16.705882371415992,1.666666555555563,1.0,1.0
2021,2,Imola,LAT,Williams,50.0,14,14,0,9.0,13.0,17.0,0,0,1,0,0,0,0,0,Mercedes,4.909,63,2,19,3,2,3,2,0,2,20.0,26,3.65,10.9,16.827329192546582,69.1,True,0.5,1011.2,11.0,0.75,1,0.0,0,6.0,CAN,0.0,11.0,0.0,1.0,0.6931471805599453,1.0,15.666666666666666,15.666666666666666
2021,2,Imola,LEC,Ferrari,4.0,4,4,0,4.0,1.0,5.0,0,0,0,1,0,0,0,0,Ferrari,4.909,63,2,19,3,2,3,2,0,2,20.0,24,3.2,10.9,16.827329192546582,69.1,True,0.5,1011.2,5.0,12.0,3,0.0,1,8.0,MON,16.0,5.0,10.0,1.199999880000012,0.7884573058188196,1.0,5.666666666666667,5.666666666666667
2021,2,Imola,MAZ,Haas F1 Team,17.0,19,19,0,18.0,20.0,20.0,0,0,0,1,0,0,0,0,Ferrari,4.909,63,2,19,3,2,3,2,0,2,20.0,22,4.2,10.9,16.827329192546582,69.1,True,0.5,1011.2,,0.75,1,0.0,0,2.0,RUS,0.0,11.0,0.0,1.0,0.6931471805599453,1.0,20.0,20.0
